Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4c1	P62806	99086000	1	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Tmsb4x	P20065	82604700	2	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H3c1;H3c2	P68433;P84228	28754800	3	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H2ax	P27661	27053400	4	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Actbl2	Q8BFZ3	24226700	5	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H2bc4;H2bc9	Q64478;Q6ZWY9	22786300	6	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Actg2	P63268	22555700	7	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Rps27a	P62983	17297500	8	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H2bc21	Q64524	16974800	9	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Prdx6	O08709	14827900	10	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Ppia	P17742	14804700	11	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Cbr2	P08074	12263300	12	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H2aj	Q8R1M2	11462300	13	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Atp5f1e	P56382	11382600	14	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Acta1	P68134	11251800	15	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Npc2	Q9Z0J0	10987100	16	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Anxa5	P48036	10509400	17	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Sftpb	P50405	10442700	18	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Actb;Actg1	P63260;P60710	10350200	19	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Slc25a5	P51881	10274100	20	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Rps18	P62270	10274000	21	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Krt5	Q922U2	10027400	22	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
S100a6	P14069	9778830	23	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Dbi	P31786	9740940	24	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Gapdh	P16858	9521010	25	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Txn	P10639	9282100	26	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
H1-2	P15864	9112080	27	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Apoa1	Q00623	8585280	28	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Cox6c	Q9CPQ1	8544620	29	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Eef1a1	P10126	8243990	30	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Krt76	Q3UV17	7693610	31	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Hspe1	Q64433	7632360	32	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Cycs	P62897	7606870	33	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Prdx1	P35700	7565550	34	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Mdh2	P08249	7549370	35	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Sftpa1	P35242	7478190	36	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Pfn1	P62962	7222250	37	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Rps20	P60867	7128410	38	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
Anxa3	O35639	6848800	39	AT2 organoid	Single shot	1	14 day DMSO	AT2 organoid_14 day DMSO
