Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
ACTB	P60709	123229000.0	1.0	A549	Single shot	1	Standard	A549_Standard
ALDH1A1	P00352	108055000.0	2.0	A549	Single shot	1	Standard	A549_Standard
HIST1H4A	P62805	97850700.0	3.0	A549	Single shot	1	Standard	A549_Standard
AKR1B10	O60218	90767900.0	4.0	A549	Single shot	1	Standard	A549_Standard
GAPDH	P04406	87068800.0	5.0	A549	Single shot	1	Standard	A549_Standard
HIST1H2AJ;HIST1H2AH;HIST2H2AA3;HIST1H2AD;HIST1H2AG;H2AFJ;HIST2H2AC	Q99878;Q96KK5;Q6FI13;P20671;P0C0S8;Q9BTM1;Q16777;Q9BTM1-2	79893000.0	6.0	A549	Single shot	1	Standard	A549_Standard
BIOGNOSYS	Biognosys	76819000.0	7.0	A549	Single shot	1	Standard	A549_Standard
PPIA	P62937	72065900.0	8.0	A549	Single shot	1	Standard	A549_Standard
PFN1	P07737	71103100.0	9.0	A549	Single shot	1	Standard	A549_Standard
PRDX1	Q06830	70741400.0	10.0	A549	Single shot	1	Standard	A549_Standard
ANXA2;ANXA2P2	P07355;P07355-2;A6NMY6	70511300.0	11.0	A549	Single shot	1	Standard	A549_Standard
PKM	P14618;P14618-3	67155200.0	12.0	A549	Single shot	1	Standard	A549_Standard
HIST1H2BH;HIST2H2BF	Q93079;Q5QNW6;Q5QNW6-2	59926000.0	13.0	A549	Single shot	1	Standard	A549_Standard
ENO1	P06733;P06733-2	59068800.0	14.0	A549	Single shot	1	Standard	A549_Standard
TUBB4B	P68371	57759900.0	15.0	A549	Single shot	1	Standard	A549_Standard
KRT18	P05783	54378200.0	16.0	A549	Single shot	1	Standard	A549_Standard
CFL1	P23528	53954200.0	17.0	A549	Single shot	1	Standard	A549_Standard
AKR1B1	P15121	53238900.0	18.0	A549	Single shot	1	Standard	A549_Standard
LDHA	P00338;P00338-3;P00338-4;P00338-5;P00338-2	52288300.0	19.0	A549	Single shot	1	Standard	A549_Standard
ALDOA	P04075	50121000.0	20.0	A549	Single shot	1	Standard	A549_Standard
AKR1C3	P42330	47395300.0	21.0	A549	Single shot	1	Standard	A549_Standard
HSPE1	P61604	46194300.0	22.0	A549	Single shot	1	Standard	A549_Standard
PGK1	P00558;P00558-2	45709600.0	23.0	A549	Single shot	1	Standard	A549_Standard
EEF1A1;EEF1A1P5	P68104;Q5VTE0;P68104-2	44672800.0	24.0	A549	Single shot	1	Standard	A549_Standard
ANXA1	P04083	44665500.0	25.0	A549	Single shot	1	Standard	A549_Standard
TUBA1B	P68363;P68363-2	43970700.0	26.0	A549	Single shot	1	Standard	A549_Standard
TPI1	P60174;P60174-1;P60174-4	42534900.0	27.0	A549	Single shot	1	Standard	A549_Standard
RPS27A	P62979	40385600.0	28.0	A549	Single shot	1	Standard	A549_Standard
TXN	P10599	37543800.0	29.0	A549	Single shot	1	Standard	A549_Standard
HSPA8	P11142;P11142-2	37008300.0	30.0	A549	Single shot	1	Standard	A549_Standard
G6PD	P11413;P11413-2	35986700.0	31.0	A549	Single shot	1	Standard	A549_Standard
LGALS1	P09382	35131300.0	32.0	A549	Single shot	1	Standard	A549_Standard
AKR1C1	Q04828	30877900.0	33.0	A549	Single shot	1	Standard	A549_Standard
HSPD1	P10809	29922500.0	34.0	A549	Single shot	1	Standard	A549_Standard
HSP90AB1	P08238	27940800.0	35.0	A549	Single shot	1	Standard	A549_Standard
YWHAE	P62258;P62258-2	27784800.0	36.0	A549	Single shot	1	Standard	A549_Standard
ACTN4	O43707;O43707-2;O43707-3	26446300.0	37.0	A549	Single shot	1	Standard	A549_Standard
S100A4	P26447	25923800.0	38.0	A549	Single shot	1	Standard	A549_Standard
HIST2H3A	Q71DI3	25795400.0	39.0	A549	Single shot	1	Standard	A549_Standard
VIM	P08670	24138900.0	40.0	A549	Single shot	1	Standard	A549_Standard
TAGLN2	P37802;P37802-2	24085800.0	41.0	A549	Single shot	1	Standard	A549_Standard
TPM3	P06753-2	23740800.0	42.0	A549	Single shot	1	Standard	A549_Standard
EIF5A;EIF5AL1	P63241;P63241-2;Q6IS14	23489700.0	43.0	A549	Single shot	1	Standard	A549_Standard
NME2	P22392-2;P22392	23084500.0	44.0	A549	Single shot	1	Standard	A549_Standard
LDHB	P07195	22925600.0	45.0	A549	Single shot	1	Standard	A549_Standard
ACTC1	P68032	22780200.0	46.0	A549	Single shot	1	Standard	A549_Standard
RPS12	P25398	22467200.0	47.0	A549	Single shot	1	Standard	A549_Standard
AKR1C2	P52895	21403200.0	48.0	A549	Single shot	1	Standard	A549_Standard
HNRNPA2B1	P22626;P22626-2	20783500.0	49.0	A549	Single shot	1	Standard	A549_Standard
UCHL1	P09936	19515400.0	50.0	A549	Single shot	1	Standard	A549_Standard
GPI	P06744;P06744-2	19501400.0	51.0	A549	Single shot	1	Standard	A549_Standard
RPS4X	P62701	19313100.0	52.0	A549	Single shot	1	Standard	A549_Standard
GSTP1	P09211	19283200.0	53.0	A549	Single shot	1	Standard	A549_Standard
RPS16	P62249	18864400.0	54.0	A549	Single shot	1	Standard	A549_Standard
UGDH	O60701;O60701-3;O60701-2	18684200.0	55.0	A549	Single shot	1	Standard	A549_Standard
RPLP2	P05387	18481500.0	56.0	A549	Single shot	1	Standard	A549_Standard
HSPB1	P04792	18094900.0	57.0	A549	Single shot	1	Standard	A549_Standard
RPL12	P30050;P30050-2	18067500.0	58.0	A549	Single shot	1	Standard	A549_Standard
YWHAZ	P63104	17727500.0	59.0	A549	Single shot	1	Standard	A549_Standard
TKT	P29401;P29401-2	17461300.0	60.0	A549	Single shot	1	Standard	A549_Standard
PGD	P52209-2;P52209	17420700.0	61.0	A549	Single shot	1	Standard	A549_Standard
FABP5	Q01469	17285800.0	62.0	A549	Single shot	1	Standard	A549_Standard
RPS3	P23396;P23396-2	16329000.0	63.0	A549	Single shot	1	Standard	A549_Standard
NQO1	P15559-2;P15559	16172100.0	64.0	A549	Single shot	1	Standard	A549_Standard
RPS9	P46781	16147300.0	65.0	A549	Single shot	1	Standard	A549_Standard
HINT1	P49773	16113900.0	66.0	A549	Single shot	1	Standard	A549_Standard
RPS13	P62277	16039100.0	67.0	A549	Single shot	1	Standard	A549_Standard
RPS19	P39019	15720100.0	68.0	A549	Single shot	1	Standard	A549_Standard
NPM1	P06748;P06748-3;P06748-2	15258200.0	69.0	A549	Single shot	1	Standard	A549_Standard
RPSA	P08865	15156500.0	70.0	A549	Single shot	1	Standard	A549_Standard
	P0DP25;P0DP24;P0DP23	15118800.0	71.0	A549	Single shot	1	Standard	A549_Standard
EIF4A1	P60842;P60842-2	14986900.0	72.0	A549	Single shot	1	Standard	A549_Standard
RPS3A	P61247	14938800.0	73.0	A549	Single shot	1	Standard	A549_Standard
GNB2L1	P63244	14876200.0	74.0	A549	Single shot	1	Standard	A549_Standard
RAN	P62826	14834700.0	75.0	A549	Single shot	1	Standard	A549_Standard
RPS21	P63220	14830800.0	76.0	A549	Single shot	1	Standard	A549_Standard
EEF2	P13639	14809100.0	77.0	A549	Single shot	1	Standard	A549_Standard
HSPA1A;HSPA1B	P0DMV8;P0DMV9;P0DMV8-2	14452000.0	78.0	A549	Single shot	1	Standard	A549_Standard
FLNA	P21333-2;P21333	14399100.0	79.0	A549	Single shot	1	Standard	A549_Standard
PGAM1	P18669	14277000.0	80.0	A549	Single shot	1	Standard	A549_Standard
PPIB	P23284	14173900.0	81.0	A549	Single shot	1	Standard	A549_Standard
RPL10A	P62906	13966500.0	82.0	A549	Single shot	1	Standard	A549_Standard
RPS18	P62269	13750200.0	83.0	A549	Single shot	1	Standard	A549_Standard
SLC25A6	P12236	13510700.0	84.0	A549	Single shot	1	Standard	A549_Standard
HNRNPA1;HNRNPA1L2	P09651;P09651-3;Q32P51	13462500.0	85.0	A549	Single shot	1	Standard	A549_Standard
HNRNPC	P07910-2;P07910-4;P07910	13242200.0	86.0	A549	Single shot	1	Standard	A549_Standard
MDH2	P40926;P40926-2	13016900.0	87.0	A549	Single shot	1	Standard	A549_Standard
RPS28	P62857	12829200.0	88.0	A549	Single shot	1	Standard	A549_Standard
RPS25	P62851	12803300.0	89.0	A549	Single shot	1	Standard	A549_Standard
MYL12A;MYL12B;MYL9	P19105;O14950;P24844	12795300.0	90.0	A549	Single shot	1	Standard	A549_Standard
YWHAQ	P27348	12752300.0	91.0	A549	Single shot	1	Standard	A549_Standard
TUBB	P07437	12387000.0	92.0	A549	Single shot	1	Standard	A549_Standard
HSP90AA1	P07900;P07900-2	11978500.0	93.0	A549	Single shot	1	Standard	A549_Standard
CSTB	P04080	11973900.0	94.0	A549	Single shot	1	Standard	A549_Standard
FKBP1A	P62942	11753500.0	95.0	A549	Single shot	1	Standard	A549_Standard
RPS27L	Q71UM5	11513100.0	96.0	A549	Single shot	1	Standard	A549_Standard
RPS5	P46782	11504000.0	97.0	A549	Single shot	1	Standard	A549_Standard
RPL23	P62829	11465800.0	98.0	A549	Single shot	1	Standard	A549_Standard
RPL27	P61353	11393500.0	99.0	A549	Single shot	1	Standard	A549_Standard
RPS11	P62280	11238000.0	100.0	A549	Single shot	1	Standard	A549_Standard
PTGES3	Q15185-4;Q15185;Q15185-3	11159600.0	101.0	A549	Single shot	1	Standard	A549_Standard
SLC3A2	P08195-2	11032800.0	102.0	A549	Single shot	1	Standard	A549_Standard
RPS15A	P62244	10908300.0	103.0	A549	Single shot	1	Standard	A549_Standard
RPL7	P18124	10825800.0	104.0	A549	Single shot	1	Standard	A549_Standard
MSN	P26038	10794500.0	105.0	A549	Single shot	1	Standard	A549_Standard
HMGB1;HMGB1P1	P09429;B2RPK0	10787300.0	106.0	A549	Single shot	1	Standard	A549_Standard
PCNA	P12004	10706800.0	107.0	A549	Single shot	1	Standard	A549_Standard
ATP5B	P06576	10610400.0	108.0	A549	Single shot	1	Standard	A549_Standard
RPL30	P62888	10520300.0	109.0	A549	Single shot	1	Standard	A549_Standard
ANXA5	P08758	10493800.0	110.0	A549	Single shot	1	Standard	A549_Standard
HNRNPK	P61978-3	10393500.0	111.0	A549	Single shot	1	Standard	A549_Standard
PARK7	Q99497	10379000.0	112.0	A549	Single shot	1	Standard	A549_Standard
S100A10	P60903	10336400.0	113.0	A549	Single shot	1	Standard	A549_Standard
BLVRB	P30043	10325700.0	114.0	A549	Single shot	1	Standard	A549_Standard
MYH9	P35579;P35579-2	10213800.0	115.0	A549	Single shot	1	Standard	A549_Standard
LMNA	P02545;P02545-6;P02545-5;P02545-4	10212200.0	116.0	A549	Single shot	1	Standard	A549_Standard
VDAC1	P21796	10167600.0	117.0	A549	Single shot	1	Standard	A549_Standard
RPLP0;RPLP0P6	P05388;Q8NHW5	9922760.0	118.0	A549	Single shot	1	Standard	A549_Standard
PRDX6	P30041	9890940.0	119.0	A549	Single shot	1	Standard	A549_Standard
P4HB	P07237	9727130.0	120.0	A549	Single shot	1	Standard	A549_Standard
S100A6	P06703	9585460.0	121.0	A549	Single shot	1	Standard	A549_Standard
RPS14	P62263	9527720.0	122.0	A549	Single shot	1	Standard	A549_Standard
HNRNPD	Q14103-3;Q14103;Q14103-4;Q14103-2	9435710.0	123.0	A549	Single shot	1	Standard	A549_Standard
EEF1G	P26641;P26641-2	9360990.0	124.0	A549	Single shot	1	Standard	A549_Standard
CLIC1	O00299	9324780.0	125.0	A549	Single shot	1	Standard	A549_Standard
HNRNPA3	P51991	9175120.0	126.0	A549	Single shot	1	Standard	A549_Standard
HIST1H2BO;HIST1H2BB;HIST3H2BB	P23527;P33778;Q8N257	9162780.0	127.0	A549	Single shot	1	Standard	A549_Standard
TPM4	P67936	9080510.0	128.0	A549	Single shot	1	Standard	A549_Standard
FLNB	O75369-8	9045960.0	129.0	A549	Single shot	1	Standard	A549_Standard
HSPA5	P11021	8990180.0	130.0	A549	Single shot	1	Standard	A549_Standard
TPM1	P09493-4	8942650.0	131.0	A549	Single shot	1	Standard	A549_Standard
RPS2	P15880	8916090.0	132.0	A549	Single shot	1	Standard	A549_Standard
RPS20	P60866;P60866-2	8721280.0	133.0	A549	Single shot	1	Standard	A549_Standard
NCL	P19338	8700970.0	134.0	A549	Single shot	1	Standard	A549_Standard
DSTN	P60981;P60981-2	8662370.0	135.0	A549	Single shot	1	Standard	A549_Standard
SFN	P31947;P31947-2	8464490.0	136.0	A549	Single shot	1	Standard	A549_Standard
SOD1	P00441	8392320.0	137.0	A549	Single shot	1	Standard	A549_Standard
PDCD5	O14737;O14737-2	8229480.0	138.0	A549	Single shot	1	Standard	A549_Standard
STIP1	P31948;P31948-2;P31948-3	8176810.0	139.0	A549	Single shot	1	Standard	A549_Standard
CANX	P27824-2;P27824;P27824-3	8102720.0	140.0	A549	Single shot	1	Standard	A549_Standard
VCP	P55072	8098940.0	141.0	A549	Single shot	1	Standard	A549_Standard
AHCY	P23526;P23526-2	7917910.0	142.0	A549	Single shot	1	Standard	A549_Standard
RPL24	P83731	7862880.0	143.0	A549	Single shot	1	Standard	A549_Standard
ANXA4	P09525	7840510.0	144.0	A549	Single shot	1	Standard	A549_Standard
PPA1	Q15181	7808810.0	145.0	A549	Single shot	1	Standard	A549_Standard
MIF	P14174	7791410.0	146.0	A549	Single shot	1	Standard	A549_Standard
CSRP1	P21291	7782570.0	147.0	A549	Single shot	1	Standard	A549_Standard
