Accession IDs	Copy number	Rank	Gene names	Cell Type	Fraction	Condition	Experiment type	label
A0A024RBG1	404478.7209	2928	NUDT4B	Astrocyte	1	Standard	Single shot	Astrocyte
A0A096LP01	265349.9213	1252	SMIM26	Astrocyte	1	Standard	Single shot	Astrocyte
A0A1B0GTU1	193621.2293	2310	ZC3H11B	Astrocyte	1	Standard	Single shot	Astrocyte
A0A1B0GUS4	9991333.929	2887	UBE2L5	Astrocyte	1	Standard	Single shot	Astrocyte
A0AV96	63716.97452	2877	RBM47	Astrocyte	1	Standard	Single shot	Astrocyte
A0AVF1	205806.5597	1235	IFT56	Astrocyte	1	Standard	Single shot	Astrocyte
A0AVI4	104838.1243	1382	TMEM129	Astrocyte	1	Standard	Single shot	Astrocyte
A0AVT1	3449434.26	1396	UBA6	Astrocyte	1	Standard	Single shot	Astrocyte
A0FGR8	763127.2247	2805	ESYT2	Astrocyte	1	Standard	Single shot	Astrocyte
A0JLT2	167537.5664	3078	MED19	Astrocyte	1	Standard	Single shot	Astrocyte
A0JNW5	89154.61304	1177	BLTP3B	Astrocyte	1	Standard	Single shot	Astrocyte
A0MZ66	526230.8962	2314	SHTN1	Astrocyte	1	Standard	Single shot	Astrocyte
A0PJW6	145590.4402	2878	TMEM223	Astrocyte	1	Standard	Single shot	Astrocyte
A0PJZ3	529525.3713	1700	GXYLT2	Astrocyte	1	Standard	Single shot	Astrocyte
A0PK00	220052.4966	421	TMEM120B	Astrocyte	1	Standard	Single shot	Astrocyte
A1A4S6	175546.2119	1421	ARHGAP10	Astrocyte	1	Standard	Single shot	Astrocyte
A1A5C7	74639.99602	1833	SLC22A23	Astrocyte	1	Standard	Single shot	Astrocyte
A1IGU5	119560.4222	1572	ARHGEF37	Astrocyte	1	Standard	Single shot	Astrocyte
A1L020	131990.5787	1995	MEX3A	Astrocyte	1	Standard	Single shot	Astrocyte
A1L0T0	714214.9972	1821	ILVBL	Astrocyte	1	Standard	Single shot	Astrocyte
A1L170	126169.3038	2774	C1orf226	Astrocyte	1	Standard	Single shot	Astrocyte
A1L188	463587.4673	3151	NDUFAF8	Astrocyte	1	Standard	Single shot	Astrocyte
A1L390	79442.47578	3173	PLEKHG3	Astrocyte	1	Standard	Single shot	Astrocyte
A1L4H1	35839.67459	1702	SSC5D	Astrocyte	1	Standard	Single shot	Astrocyte
A1X283	634267.368	2171	SH3PXD2B	Astrocyte	1	Standard	Single shot	Astrocyte
A1XBS5	307641.0894	6776	CIBAR1	Astrocyte	1	Standard	Single shot	Astrocyte
A1Z1Q3	175168.4498	2885	MACROD2	Astrocyte	1	Standard	Single shot	Astrocyte
A2A2Y4	155352.796	2097	FRMD3	Astrocyte	1	Standard	Single shot	Astrocyte
A2A3K4	53274.47582	1481	PTPDC1	Astrocyte	1	Standard	Single shot	Astrocyte
A2AJT9	59509.92834	1402	BCLAF3	Astrocyte	1	Standard	Single shot	Astrocyte
A2RRP1	226866.7827	6787	NBAS	Astrocyte	1	Standard	Single shot	Astrocyte
A2RTX5	116742.4636	1828	TARS3	Astrocyte	1	Standard	Single shot	Astrocyte
A2RU48	6842374.398	8967	SMCO3	Astrocyte	1	Standard	Single shot	Astrocyte
A2RU67	42120.0038	154	FAM234B	Astrocyte	1	Standard	Single shot	Astrocyte
A2RUC4	265079.6901	1683	TYW5	Astrocyte	1	Standard	Single shot	Astrocyte
A2RUS2	27031.29311	2315	DENND3	Astrocyte	1	Standard	Single shot	Astrocyte
A2VDJ0	22738.11984	2917	TMEM131L	Astrocyte	1	Standard	Single shot	Astrocyte
A3KMH1	71616.47721	2843	VWA8	Astrocyte	1	Standard	Single shot	Astrocyte
A3KN83	34365.16401	2800	SBNO1	Astrocyte	1	Standard	Single shot	Astrocyte
A4D0S4	75511.75936	1398	LAMB4	Astrocyte	1	Standard	Single shot	Astrocyte
A4D126	213659.2263	1377	CRPPA	Astrocyte	1	Standard	Single shot	Astrocyte
A4D161	36986.48514	1317	FAM221A	Astrocyte	1	Standard	Single shot	Astrocyte
A4D1E9	171357.025	2851	GTPBP10	Astrocyte	1	Standard	Single shot	Astrocyte
A4D1P6	137109.8219	1168	WDR91	Astrocyte	1	Standard	Single shot	Astrocyte
A4D1U4	42629.06457	1200	DENND11	Astrocyte	1	Standard	Single shot	Astrocyte
A4D2B0	225645.2181	2288	MBLAC1	Astrocyte	1	Standard	Single shot	Astrocyte
A4FU01	28544.21169	2995	MTMR11	Astrocyte	1	Standard	Single shot	Astrocyte
A5D8V6	155635.9058	4122	VPS37C	Astrocyte	1	Standard	Single shot	Astrocyte
A5PLL7	291992.6459	2812	PEDS1	Astrocyte	1	Standard	Single shot	Astrocyte
A5PLN9	647264.7464	1623	TRAPPC13	Astrocyte	1	Standard	Single shot	Astrocyte
A5YKK6	213284.6632	1233	CNOT1	Astrocyte	1	Standard	Single shot	Astrocyte
A6NCS6	559498.2321	754	C2orf72	Astrocyte	1	Standard	Single shot	Astrocyte
