Accession IDs	Copy number	Rank	Gene names	Cell Type	Fraction	Condition	Experiment type	label
A0A024RBG1	106371.2309	2756	NUDT4B	Microglia	1	Standard	Single shot	Microglia
A0A096LP01	208035.458	1308	SMIM26	Microglia	1	Standard	Single shot	Microglia
A0A1B0GTU1	127199.6744	2766	ZC3H11B	Microglia	1	Standard	Single shot	Microglia
A0A1B0GUS4	4850421.127	2757	UBE2L5	Microglia	1	Standard	Single shot	Microglia
A0AV96	334890.9767	136	RBM47	Microglia	1	Standard	Single shot	Microglia
A0AVI4	49675.43865	1122	TMEM129	Microglia	1	Standard	Single shot	Microglia
A0AVT1	1081751.96	2807	UBA6	Microglia	1	Standard	Single shot	Microglia
A0FGR8	193937.501	1230	ESYT2	Microglia	1	Standard	Single shot	Microglia
A0JLT2	61063.29205	2934	MED19	Microglia	1	Standard	Single shot	Microglia
A0JNW5	37234.91342	1140	BLTP3B	Microglia	1	Standard	Single shot	Microglia
A0MZ66	477701.8172	2221	SHTN1	Microglia	1	Standard	Single shot	Microglia
A0PJW6	145024.0213	2693	TMEM223	Microglia	1	Standard	Single shot	Microglia
A1A4S6	92225.86467	3043	ARHGAP10	Microglia	1	Standard	Single shot	Microglia
A1IGU5	26870.06881	691	ARHGEF37	Microglia	1	Standard	Single shot	Microglia
A1L0T0	349654.7534	1292	ILVBL	Microglia	1	Standard	Single shot	Microglia
A1L188	448419.3168	2899	NDUFAF8	Microglia	1	Standard	Single shot	Microglia
A1L390	28689.09611	2687	PLEKHG3	Microglia	1	Standard	Single shot	Microglia
A1X283	537433.4042	1616	SH3PXD2B	Microglia	1	Standard	Single shot	Microglia
A2A288	84828.59539	3372	ZC3H12D	Microglia	1	Standard	Single shot	Microglia
A2A2Y4	50874.97178	1800	FRMD3	Microglia	1	Standard	Single shot	Microglia
A2A3K4	14725.9818	2701	PTPDC1	Microglia	1	Standard	Single shot	Microglia
A2AJT9	19436.92183	2764	BCLAF3	Microglia	1	Standard	Single shot	Microglia
A2I7N0	186154.3792	5367	SERPINA3-4	Microglia	1	Standard	Single shot	Microglia
A2I7N1	46053.76057	1052	SERPINA3-5	Microglia	1	Standard	Single shot	Microglia
A2RRP1	43942.56758	1136	NBAS	Microglia	1	Standard	Single shot	Microglia
A2RTX5	19421.14059	2396	TARS3	Microglia	1	Standard	Single shot	Microglia
A2RU67	25160.29053	2117	FAM234B	Microglia	1	Standard	Single shot	Microglia
A2RUC4	134465.1656	1234	TYW5	Microglia	1	Standard	Single shot	Microglia
A2RUS2	112577.0162	2198	DENND3	Microglia	1	Standard	Single shot	Microglia
A2VDJ0	12570.05435	2454	TMEM131L	Microglia	1	Standard	Single shot	Microglia
