Accession IDs	Copy number	Rank	Gene names	Cell type	Fraction	Condition	Experiment type	label
P62805	108911120.6	1	H4C1	Neuron	1	Standard	Single shot	Neuron
P62807	53293580.99	2	H2BC4	Neuron	1	Standard	Single shot	Neuron
P61604	34271337.89	3	HSPE1	Neuron	1	Standard	Single shot	Neuron
P07305	32041509.53	4	H1-0	Neuron	1	Standard	Single shot	Neuron
P99999	27387969.24	5	CYCS	Neuron	1	Standard	Single shot	Neuron
P46776	27213616.59	6	RPL27A	Neuron	1	Standard	Single shot	Neuron
Q9GZQ8	26451928.5	7	MAP1LC3B	Neuron	1	Standard	Single shot	Neuron
P62857	25753509.93	8	RPS28	Neuron	1	Standard	Single shot	Neuron
P35080	24916356.59	9	PFN2	Neuron	1	Standard	Single shot	Neuron
P07195	21062595.23	10	LDHB	Neuron	1	Standard	Single shot	Neuron
P09936	19535079.55	11	UCHL1	Neuron	1	Standard	Single shot	Neuron
Q9UII2	19441212.8	12	ATP5IF1	Neuron	1	Standard	Single shot	Neuron
P40926	18119007.76	13	MDH2	Neuron	1	Standard	Single shot	Neuron
P14174	17899830.53	14	MIF	Neuron	1	Standard	Single shot	Neuron
P06748	17771619.98	15	NPM1	Neuron	1	Standard	Single shot	Neuron
P46781	17399576.54	16	RPS9	Neuron	1	Standard	Single shot	Neuron
P45880	17240749.03	17	VDAC2	Neuron	1	Standard	Single shot	Neuron
P00558	17134401.01	18	PGK1	Neuron	1	Standard	Single shot	Neuron
P61353	16608549.07	19	RPL27	Neuron	1	Standard	Single shot	Neuron
P25705	16584683.42	20	ATP5F1A	Neuron	1	Standard	Single shot	Neuron
Q05639	16487568.63	21	EEF1A2	Neuron	1	Standard	Single shot	Neuron
O75367	16420580.32	22	MACROH2A1	Neuron	1	Standard	Single shot	Neuron
Q99497	16121288.99	23	PARK7	Neuron	1	Standard	Single shot	Neuron
P32119	16099454.41	24	PRDX2	Neuron	1	Standard	Single shot	Neuron
P11142	15825466.48	25	HSPA8	Neuron	1	Standard	Single shot	Neuron
P18077	15401653.29	26	RPL35A	Neuron	1	Standard	Single shot	Neuron
Q06830	15328853.61	27	PRDX1	Neuron	1	Standard	Single shot	Neuron
P80723	15050825.3	28	BASP1	Neuron	1	Standard	Single shot	Neuron
P23396	14760978.08	29	RPS3	Neuron	1	Standard	Single shot	Neuron
P62851	14272447.45	30	RPS25	Neuron	1	Standard	Single shot	Neuron
O75347	13707556.16	31	TBCA	Neuron	1	Standard	Single shot	Neuron
Q9Y3U8	13047225.69	32	RPL36	Neuron	1	Standard	Single shot	Neuron
Q9BVA1	12709780.14	33	TUBB2B	Neuron	1	Standard	Single shot	Neuron
P21796	12229992.96	34	VDAC1	Neuron	1	Standard	Single shot	Neuron
P00338	12146507.38	35	LDHA	Neuron	1	Standard	Single shot	Neuron
Q16658	12082118.46	36	FSCN1	Neuron	1	Standard	Single shot	Neuron
P16949	11953889.35	37	STMN1	Neuron	1	Standard	Single shot	Neuron
Q04837	11076478.61	38	SSBP1	Neuron	1	Standard	Single shot	Neuron
P31150	10984160.51	39	GDI1	Neuron	1	Standard	Single shot	Neuron
P18085	10898601.58	40	ARF4	Neuron	1	Standard	Single shot	Neuron
P62244	10836923.1	41	RPS15A	Neuron	1	Standard	Single shot	Neuron
Q14019	10795461.71	42	COTL1	Neuron	1	Standard	Single shot	Neuron
P07910	10696087.2	43	HNRNPC	Neuron	1	Standard	Single shot	Neuron
P29966	10602999.79	44	MARCKS	Neuron	1	Standard	Single shot	Neuron
P61247	10595881.51	45	RPS3A	Neuron	1	Standard	Single shot	Neuron
Q58FF3	10572043.1	46	HSP90B2P	Neuron	1	Standard	Single shot	Neuron
P60981	10527358.09	47	DSTN	Neuron	1	Standard	Single shot	Neuron
P83731	10491616.27	48	RPL24	Neuron	1	Standard	Single shot	Neuron
Q9UI15	10336927.3	49	TAGLN3	Neuron	1	Standard	Single shot	Neuron
P22061	10146011.32	50	PCMT1	Neuron	1	Standard	Single shot	Neuron
Q14194	10082154.24	51	CRMP1	Neuron	1	Standard	Single shot	Neuron
P27348	10042770.01	52	YWHAQ	Neuron	1	Standard	Single shot	Neuron
P46779	9983261.613	53	RPL28	Neuron	1	Standard	Single shot	Neuron
P46782	9821929.326	54	RPS5	Neuron	1	Standard	Single shot	Neuron
Q15185	9765706.179	55	PTGES3	Neuron	1	Standard	Single shot	Neuron
P30086	9739996.487	56	PEBP1	Neuron	1	Standard	Single shot	Neuron
P62906	9634064.251	57	RPL10A	Neuron	1	Standard	Single shot	Neuron
P06576	9622189.132	58	ATP5F1B	Neuron	1	Standard	Single shot	Neuron
P16104	9612185.381	59	H2AX	Neuron	1	Standard	Single shot	Neuron
P49207	9572919.069	60	RPL34	Neuron	1	Standard	Single shot	Neuron
