Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
Tmsb4x	P20065	33213600	1	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Atp5f1e	P56382	29480800	2	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Mt1	P02802	26704000	3	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Mt2	P02798	25480200	4	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Atp5mk	Q78IK2	25461300	5	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rpl39	P62892	25303000	6	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rps29	P62274	24297000	7	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Atp5mj	P56379	22751900	8	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Uqcr10	Q8R1I1	22066100	9	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Atox1	O08997	21819100	10	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox7c	P17665	21395500	11	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rps28	P62858	21244700	12	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Tma7	Q8K003	20931200	13	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox17	P56394	20755300	14	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Serf2	P84102	20703200	15	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox6c	Q9CPQ1	20408400	16	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Mtatp8	P03930	20286100	17	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Ndufb1	P0DN34	20134900	18	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rpl38	Q9JJI8	19820600	19	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox14	Q8BH51	19796700	20	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Atp5me	Q06185	19471000	21	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Mrpl33	Q9CQP0	19313000	22	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Romo1	P60603	19308200	23	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Tomm5	B1AXP6	19023000	24	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Polr2k	Q63871	18984200	25	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Gng5	Q80SZ7	18894000	26	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Gng12	Q9DAS9	18639500	27	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cmc4	Q61908	18491100	28	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Snrpg	P62309	18329800	29	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
	Q91WE4	18234600	30	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Sec61g	P60060	17871700	31	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Ndufa4	Q62425	17831900	32	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Dbi	P31786	17547800	33	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
S100g	P97816	17481700	34	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
S100a6	P14069	17469900	35	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Tmem167a	Q9CR64	17422700	36	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Ndufa1	O35683	17420400	37	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
H4c1	P62806	17350600	38	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Uqcr11	Q9CPX8	17065700	39	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Nedd8	P29595	16966300	40	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Ubl5	Q9EPV8	16800600	41	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Uqcrq	Q9CQ69	16772300	42	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox7b	P56393	16759300	43	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Crip1	P63254	16672700	44	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rps27	Q6ZWU9	16593300	45	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rps21	Q9CQR2	16569600	46	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Micos10	Q7TNS2	16539300	47	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Ufm1	P61961	16491900	48	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Rps27l	Q6ZWY3	16455600	49	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Nop10	Q9CQS2	16389500	50	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Hopx	Q8R1H0	16387200	51	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Banf1	O54962	16359000	52	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox7a2	P48771	16339300	53	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Smim15	Q3UTD9	16194300	54	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Tmem167b	Q80X45	16129400	55	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Abracl	Q4KML4	15997400	56	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Cox6b1	P56391	15919500	57	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
Hspe1	Q64433	15885800	58	Lung organoid	Single shot	1	DMSO MLi2	Lung organoid_DMSO Mli2
