Accession IDs	Copy number	Rank	Gene names	Cell Type	Fraction	Condition	Experiment type	label
P62805	95937353.39	1	H4C1	Microglia	1	Standard	Single shot	Microglia
P09382	87010307.7	2	LGALS1	Microglia	1	Standard	Single shot	Microglia
P62857	66060563.71	3	RPS28	Microglia	1	Standard	Single shot	Microglia
P62807	64340669.24	4	H2BC4	Microglia	1	Standard	Single shot	Microglia
O00299	54803824.85	5	CLIC1	Microglia	1	Standard	Single shot	Microglia
P02792	51693268.35	6	FTL	Microglia	1	Standard	Single shot	Microglia
P67936	48649318.38	7	TPM4	Microglia	1	Standard	Single shot	Microglia
P07305	46332198.7	8	H1-0	Microglia	1	Standard	Single shot	Microglia
Q01469	44551793.83	9	FABP5	Microglia	1	Standard	Single shot	Microglia
P04179	44306984.78	10	SOD2	Microglia	1	Standard	Single shot	Microglia
P46776	43493027.3	11	RPL27A	Microglia	1	Standard	Single shot	Microglia
P61604	40431104.77	12	HSPE1	Microglia	1	Standard	Single shot	Microglia
Q06830	39840067.48	13	PRDX1	Microglia	1	Standard	Single shot	Microglia
O75348	35965248.13	14	ATP6V1G1	Microglia	1	Standard	Single shot	Microglia
P08758	33645731.4	15	ANXA5	Microglia	1	Standard	Single shot	Microglia
P99999	32896167.79	16	CYCS	Microglia	1	Standard	Single shot	Microglia
P61353	32704898.86	17	RPL27	Microglia	1	Standard	Single shot	Microglia
P18077	31596255.26	18	RPL35A	Microglia	1	Standard	Single shot	Microglia
Q14019	31132981.46	19	COTL1	Microglia	1	Standard	Single shot	Microglia
P25705	30622413.36	20	ATP5F1A	Microglia	1	Standard	Single shot	Microglia
P61916	30100046.35	21	NPC2	Microglia	1	Standard	Single shot	Microglia
P62851	29533870.82	22	RPS25	Microglia	1	Standard	Single shot	Microglia
Q8TAT2	29489766.68	23	FGFBP3	Microglia	1	Standard	Single shot	Microglia
P00558	29410386.74	24	PGK1	Microglia	1	Standard	Single shot	Microglia
P04080	29021970.09	25	CSTB	Microglia	1	Standard	Single shot	Microglia
P51149	28891841.84	26	RAB7A	Microglia	1	Standard	Single shot	Microglia
P40926	28807941.04	27	MDH2	Microglia	1	Standard	Single shot	Microglia
P07339	28280891.95	28	CTSD	Microglia	1	Standard	Single shot	Microglia
P45880	27804957.85	29	VDAC2	Microglia	1	Standard	Single shot	Microglia
P52209	26501364.07	30	PGD	Microglia	1	Standard	Single shot	Microglia
P46781	26230675.37	31	RPS9	Microglia	1	Standard	Single shot	Microglia
P40121	26079237.88	32	CAPG	Microglia	1	Standard	Single shot	Microglia
Q9Y3U8	25914489.42	33	RPL36	Microglia	1	Standard	Single shot	Microglia
P83881	25783219.48	34	RPL36A	Microglia	1	Standard	Single shot	Microglia
P49207	25175574.16	35	RPL34	Microglia	1	Standard	Single shot	Microglia
P62244	24637596.68	36	RPS15A	Microglia	1	Standard	Single shot	Microglia
Q05639	24287748.03	37	EEF1A2	Microglia	1	Standard	Single shot	Microglia
P59998	23652248.5	38	ARPC4	Microglia	1	Standard	Single shot	Microglia
P00338	23209049.26	39	LDHA	Microglia	1	Standard	Single shot	Microglia
P04792	22880428.74	40	HSPB1	Microglia	1	Standard	Single shot	Microglia
P23396	22696473.41	41	RPS3	Microglia	1	Standard	Single shot	Microglia
P16152	21842333	42	CBR1	Microglia	1	Standard	Single shot	Microglia
P46782	21777951.07	43	RPS5	Microglia	1	Standard	Single shot	Microglia
P31949	21698122.44	44	S100A11	Microglia	1	Standard	Single shot	Microglia
O15145	21660023.42	45	ARPC3	Microglia	1	Standard	Single shot	Microglia
P02794	20976547.6	46	FTH1	Microglia	1	Standard	Single shot	Microglia
P05161	20588827.39	47	ISG15	Microglia	1	Standard	Single shot	Microglia
P07858	20493120.37	48	CTSB	Microglia	1	Standard	Single shot	Microglia
P30043	20431192.7	49	BLVRB	Microglia	1	Standard	Single shot	Microglia
Q9UJ70	20290182.23	50	NAGK	Microglia	1	Standard	Single shot	Microglia
P04075	20276019.8	51	ALDOA	Microglia	1	Standard	Single shot	Microglia
P21796	20054682.78	52	VDAC1	Microglia	1	Standard	Single shot	Microglia
P06748	19185276.03	53	NPM1	Microglia	1	Standard	Single shot	Microglia
P11142	18720730.19	54	HSPA8	Microglia	1	Standard	Single shot	Microglia
P13073	18363352.65	55	COX4I1	Microglia	1	Standard	Single shot	Microglia
Q9H299	18205115.14	56	SH3BGRL3	Microglia	1	Standard	Single shot	Microglia
P47756	18105838.15	57	CAPZB	Microglia	1	Standard	Single shot	Microglia
O60493	17829080.26	58	SNX3	Microglia	1	Standard	Single shot	Microglia
P61247	17669513.67	59	RPS3A	Microglia	1	Standard	Single shot	Microglia
O75874	17201762.69	60	IDH1	Microglia	1	Standard	Single shot	Microglia
P62906	17065782.92	61	RPL10A	Microglia	1	Standard	Single shot	Microglia
P14618	16956243.9	62	PKM	Microglia	1	Standard	Single shot	Microglia
P62937	16918062.71	63	PPIA	Microglia	1	Standard	Single shot	Microglia
P05413	16583385.89	64	FABP3	Microglia	1	Standard	Single shot	Microglia
P07195	16407194.34	65	LDHB	Microglia	1	Standard	Single shot	Microglia
P62273	16378521.33	66	RPS29	Microglia	1	Standard	Single shot	Microglia
P04264	16313002.18	67	KRT1	Microglia	1	Standard	Single shot	Microglia
P61769	16163676	68	B2M	Microglia	1	Standard	Single shot	Microglia
Q08722	15925727.97	69	CD47	Microglia	1	Standard	Single shot	Microglia
P62249	15761640.62	70	RPS16	Microglia	1	Standard	Single shot	Microglia
O75347	15753107.52	71	TBCA	Microglia	1	Standard	Single shot	Microglia
O15511	15592434.11	72	ARPC5	Microglia	1	Standard	Single shot	Microglia
P62081	15563467.56	73	RPS7	Microglia	1	Standard	Single shot	Microglia
Q58FF3	15473125.9	74	HSP90B2P	Microglia	1	Standard	Single shot	Microglia
P04899	15395578.78	75	GNAI2	Microglia	1	Standard	Single shot	Microglia
P04083	15186461.61	76	ANXA1	Microglia	1	Standard	Single shot	Microglia
P63220	14968932.55	77	RPS21	Microglia	1	Standard	Single shot	Microglia
P52565	14963444.15	78	ARHGDIA	Microglia	1	Standard	Single shot	Microglia
Q02878	14790828.88	79	RPL6	Microglia	1	Standard	Single shot	Microglia
O75367	14647061.9	80	MACROH2A1	Microglia	1	Standard	Single shot	Microglia
Q96C19	14602273.4	81	EFHD2	Microglia	1	Standard	Single shot	Microglia
P83731	14394036.56	82	RPL24	Microglia	1	Standard	Single shot	Microglia
P30273	14358708.67	83	FCER1G	Microglia	1	Standard	Single shot	Microglia
P14174	14336572.29	84	MIF	Microglia	1	Standard	Single shot	Microglia
P48047	14318216.59	85	ATP5PO	Microglia	1	Standard	Single shot	Microglia
P55084	14056333.31	86	HADHB	Microglia	1	Standard	Single shot	Microglia
Q99497	13987428.64	87	PARK7	Microglia	1	Standard	Single shot	Microglia
P42766	13872644.45	88	RPL35	Microglia	1	Standard	Single shot	Microglia
P62269	13745970.78	89	RPS18	Microglia	1	Standard	Single shot	Microglia
Q04837	13736025.02	90	SSBP1	Microglia	1	Standard	Single shot	Microglia
P60866	13676976.49	91	RPS20	Microglia	1	Standard	Single shot	Microglia
P07602	13641387.1	92	PSAP	Microglia	1	Standard	Single shot	Microglia
P62993	13589236.31	93	GRB2	Microglia	1	Standard	Single shot	Microglia
P62861	13556559.07	94	FAU	Microglia	1	Standard	Single shot	Microglia
P53634	13521908.86	95	CTSC	Microglia	1	Standard	Single shot	Microglia
P25786	13498745.86	96	PSMA1	Microglia	1	Standard	Single shot	Microglia
P06576	13469188.5	97	ATP5F1B	Microglia	1	Standard	Single shot	Microglia
P06733	13405595.64	98	ENO1	Microglia	1	Standard	Single shot	Microglia
P20591	13351452.86	99	MX1	Microglia	1	Standard	Single shot	Microglia
P00761	13326017.83	100	NA	Microglia	1	Standard	Single shot	Microglia
P46779	13319120.81	101	RPL28	Microglia	1	Standard	Single shot	Microglia
P62829	13011092.61	102	RPL23	Microglia	1	Standard	Single shot	Microglia
P31146	13001969.23	103	CORO1A	Microglia	1	Standard	Single shot	Microglia
P26373	12966448.81	104	RPL13	Microglia	1	Standard	Single shot	Microglia
P63241	12955336.53	105	EIF5A	Microglia	1	Standard	Single shot	Microglia
O75915	12756192.45	106	ARL6IP5	Microglia	1	Standard	Single shot	Microglia
P23528	12748331.06	107	CFL1	Microglia	1	Standard	Single shot	Microglia
P30048	12681482.86	108	PRDX3	Microglia	1	Standard	Single shot	Microglia
P15880	12648576.81	109	RPS2	Microglia	1	Standard	Single shot	Microglia
Q6NVV1	12642922.84	110	RPL13AP3	Microglia	1	Standard	Single shot	Microglia
P07203	12605014.45	111	GPX1	Microglia	1	Standard	Single shot	Microglia
P18124	12545581.55	112	RPL7	Microglia	1	Standard	Single shot	Microglia
P56378	12511612.57	113	ATP5MJ	Microglia	1	Standard	Single shot	Microglia
P09211	12423557.18	114	GSTP1	Microglia	1	Standard	Single shot	Microglia
P84098	12361732.82	115	RPL19	Microglia	1	Standard	Single shot	Microglia
P61158	12298705.74	116	ACTR3	Microglia	1	Standard	Single shot	Microglia
Q16658	12288719.64	117	FSCN1	Microglia	1	Standard	Single shot	Microglia
P02584	12256019.75	118	PFN1	Microglia	1	Standard	Single shot	Microglia
O14949	12158877.16	119	UQCRQ	Microglia	1	Standard	Single shot	Microglia
P15121	12145540.77	120	AKR1B1	Microglia	1	Standard	Single shot	Microglia
P06703	12118618.44	121	S100A6	Microglia	1	Standard	Single shot	Microglia
P84103	12101314.79	122	SRSF3	Microglia	1	Standard	Single shot	Microglia
P78417	12045775.55	123	GSTO1	Microglia	1	Standard	Single shot	Microglia
P52566	12042693.26	124	ARHGDIB	Microglia	1	Standard	Single shot	Microglia
O14879	12031758.5	125	IFIT3	Microglia	1	Standard	Single shot	Microglia
Q3SX14	11929809.39	126	GSN	Microglia	1	Standard	Single shot	Microglia
P09913	11874338.79	127	IFIT2	Microglia	1	Standard	Single shot	Microglia
Q8IV08	11815172.56	128	PLD3	Microglia	1	Standard	Single shot	Microglia
P31947	11755001.64	129	SFN	Microglia	1	Standard	Single shot	Microglia
P09914	11483677.54	130	IFIT1	Microglia	1	Standard	Single shot	Microglia
Q9UII2	11443014.17	131	ATP5IF1	Microglia	1	Standard	Single shot	Microglia
P62277	11417371.21	132	RPS13	Microglia	1	Standard	Single shot	Microglia
P26447	11381678.56	133	S100A4	Microglia	1	Standard	Single shot	Microglia
P35232	11159067.07	134	PHB1	Microglia	1	Standard	Single shot	Microglia
P29401	11108657.63	135	TKT	Microglia	1	Standard	Single shot	Microglia
Q9Y6N5	11025355.45	136	SQOR	Microglia	1	Standard	Single shot	Microglia
P80075	10947220.87	137	CCL8	Microglia	1	Standard	Single shot	Microglia
P32119	10924648.69	138	PRDX2	Microglia	1	Standard	Single shot	Microglia
Q8TAV4	10897042.82	139	STOML3	Microglia	1	Standard	Single shot	Microglia
Q9UBR2	10893529.83	140	CTSZ	Microglia	1	Standard	Single shot	Microglia
P39019	10814147.91	141	RPS19	Microglia	1	Standard	Single shot	Microglia
P17931	10768642.36	142	LGALS3	Microglia	1	Standard	Single shot	Microglia
