Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
AKAP2	Q8IXS6-2;Q9Y2D5-6	484925000	1	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
IFRD2	Q12894-2	228335000	2	Mid-brain Dopaminergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H2AC1	P16104;Q8IUE6;Q96QV6;Q9BTM1;Q9BTM1-2	45188200	3	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H2BC1	P58876;Q5QNW6-2;Q8N257;Q96A08	44305700	4	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H4C16	P62805	35329400	5	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H2BC18	P58876;Q5QNW6-2	22296900	6	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H3-3B	P84243;Q5TEC6	20337600	7	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H2AC1	P16104;Q96QV6;Q9BTM1;Q9BTM1-2	17854300	8	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBA1A	P0DPH7-2;P68366-2;Q71U36-2;Q9BQE3;Q9NY65;Q9NY65-2	16277400	9	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H3-3B	P84243	16069200	10	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBA1A	Q71U36-2;Q9BQE3	13350000	11	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
ACTB	P60709;P63261	12789100	12	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H1-2	P10412;P16402;P16403	12688400	13	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
PPIA	P62937	12587800	14	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
ACTA1	P60709;P63261;P63267;P68032;P68133;Q562R1	12067500	15	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBA1A	P0DPH7-2;P68366-2;Q71U36-2;Q9BQE3	11755900	16	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
RPS27A	P62979;P62987	10953500	17	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBB	P07437;Q13509;Q13885;Q9BVA1	10577900	18	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBB	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7	10531300	19	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
TUBB	A6NNZ2;P04350;P07437;P68371;Q13885;Q3ZCM7;Q9BVA1	9991200	20	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
H2BC18	P58876;Q5QNW6-2;Q8N257	9557540	21	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
VIM	P08670	9481110	22	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
DES	P05787;P05787-2;P08670;P08729;P17661;P41219;P41219-2;Q9NSB2	9347300	23	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
GFAP	O95678;P02538;P04259;P05787;P05787-2;P08670;P08729;P12035;P13647;P14136;P78386;Q8N1N4;Q9NSB2	9271090	24	Mid-brain Dopinergic Neurons	Single shot	1	WT	Midbrain_dopaminergic_neurons_wt
