Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
ALAD	P13716;P13716-2	75523	2176	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ALS2	Q96Q42	5379.78	6835	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ANXA11	P50995;P50995-2	27628.9	3787	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
APEX1	P27695	461786	559	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
APOE	P02649	28479.7	3727	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ATXN1	P54253	2404.58	7855	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ATXN2	Q99700;Q99700-2;Q99700-4	16415.4	4763	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
C9orf72	Q96LT7	31758.3	3535	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CAMTA1	Q9Y6Y1;Q9Y6Y1-2	3419.8	7475	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CAV1	Q03135	13944.3	5100	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CCS	O14618	62286.1	2429	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CDH13	P55290;P55290-4	8975.56	5952	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CFAP410	O43822;O43822-3;O43822-4	22360.9	4166	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CHGB	P05060	10132.2	5728	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CHMP2B	Q9UQN3	30264.8	3621	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CNTF	P26441	19436.1	4411	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CNTN4	Q8IWV2	20849.2	4279	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CNTN6	Q9UQ52	5062.47	6931	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CRIM1	Q9NZV1	1008.92	8324	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CSNK1G3	Q9Y6M4;Q9Y6M4-2	129560	1521	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
CST3	P01034	90272.2	1940	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DCTN1	Q14203;Q14203-6	112928	1657	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DNAJC7	Q99615	75683.9	2175	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DNMT3A	Q9Y6K1	12772.5	5275	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DNMT3B	Q9UBC3;Q9UBC3-2;Q9UBC3-3;Q9UBC3-6;Q9UBC3-7;Q9UBC3-8	3159.55	7567	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DOC2B	Q14184	814.978	8391	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DPP6	P42658-2	50046.1	2745	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
DYNC1H1	Q14204	101663	1786	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ELP3	Q9H9T3;Q9H9T3-2	45256.7	2915	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ENAH	Q8N8S7	195607	1138	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
EPHA3	P29320	25142.2	3959	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
EPHA4	P54764	15451.8	4896	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ERLIN1	O75477	20780.3	4287	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
EWSR1	Q01844;Q01844-3;Q01844-5;Q01844-6	139187	1445	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
FIG4	Q92562	14164.6	5065	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
FUS	P35637;P35637-2	1031340	270	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GLE1	Q53GS7	4359.22	7184	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GLT8D1	Q68CQ7	49604.9	2763	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GPX3	P22352	79503.7	2102	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GRN	P28799	23758.3	4064	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
HEXA	P06865	97647	1843	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
HNRNPA1	P09651;P09651-2	2406000	108	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
HNRNPA2B1	P22626	3624470	63	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ITPR2	Q14571	1096.57	8303	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
KIF5A	Q12840	45401.7	2906	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
KIFAP3	Q92845	30283.2	3619	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
LMNB1	P20700	245146	971	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
MAOB	P27338;P27338-2	7683.3	6248	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
MAPT	P10636-4	1427950	196	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
MAPT	P10636-6	327019	751	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
MATR3	P43243	467617	550	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
NEFH	P12036	92778.9	1906	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
NEFL	P07196	2635060	91	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
NEK1	Q96PY6-3;Q96PY6-6	3800.15	7355	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
NIPA1	Q7RTP0;Q7RTP0-2	6309.26	6580	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ODR4	Q5SWX8	18651.1	4484	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
OPTN	Q96CV9	24167.7	4040	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PARK7	Q99497	3361220	68	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PCP4	P48539	82772.4	2049	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PFN1	P07737	2809840	85	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PNPLA6	Q8IY17;Q8IY17-2;Q8IY17-3	356258	693	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PON2	Q15165;Q15165-1;Q15165-3	112180	1664	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PRPH	P41219	1958070	137	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PRPH	P41219-2	9104.35	5918	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PSEN1	P49768;P49768-2	51252.4	2710	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PVR	P15151;P15151-2;P15151-3;P15151-4	70334.5	2271	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
RFTN1	Q14699	11237.9	5534	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SARM1	Q6SZW1	60730.7	2457	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SCFD1	Q8WVM8	33834	3417	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SEMA6A	Q9H2E6;Q9H2E6-2	2651.06	7765	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SETX	Q7Z333;Q7Z333-3;Q7Z333-4	480.716	8461	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SIGMAR1	Q99720;Q99720-3;Q99720-4	53435.4	2646	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SLC1A2	P43004;P43004-2	13330.8	5182	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SLC39A11	Q8N1S5;Q8N1S5-2	36951.6	3247	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SMN1	Q16637;Q16637-3	27523.5	3798	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SNCG	O76070	2724190	88	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SOD1	P00441	2283240	116	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SOD2	P04179	562192	479	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SPAST	Q9UBP0-2;Q9UBP0-4	7054.75	6394	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SPAST	Q9UBP0;Q9UBP0-3	44208.7	2951	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
